view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,final_value,start_value,numberOfPresses,hintSampleSize,hintClicks,numHintClicks,hintsFollowed,hintsIgnored,title,stimulus,slider_start,response
"[{""page_index"":0,""viewing_time"":2283.599999964237},{""page_index"":1,""viewing_time"":1698.800000011921}]",3986.3,instructions,0,3993,0.0-0.0,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1973.5999999642372}]",1974.9,instructions,1,5971,0.0-1.0,,,,,,,,,,,,
,12602.1,reconstruction,2,18585,0.0-2.0,0.28,0.28,0,107,,0,0,0,practice 1,,,
,559330.7,reconstruction,3,577923,0.0-3.0,0.96,0.78,90,5,,0,0,0,practice 1,,,
,849.9,reconstruction,4,578780,0.0-4.0,0.18,0.18,0,5,,0,0,0,practice 1,,,
,317.3,reconstruction,5,579101,0.0-5.0,0.85,0.85,0,107,,0,0,0,practice 1,,,
,161.7,reconstruction,6,579265,0.0-6.0,0.85,0.85,0,107,,0,0,0,practice 1,,,
"[{""page_index"":0,""viewing_time"":3059.5}]",3060.7,instructions,7,582327,0.0-7.0,,,,,,,,,,,,
,1268.4,reconstruction,8,583600,0.0-8.0,0.68,0.68,0,5,,0,0,0,practice 2,,,
,4780.8,reconstruction,9,588414,0.0-9.0,0.75,0.75,0,5,,0,0,0,practice 2,,,
,2277.2,reconstruction,10,590708,0.0-10.0,0.72,0.72,0,5,,0,0,0,practice 2,,,
,1974.3,reconstruction,11,592695,0.0-11.0,0.97,0.97,0,107,,0,0,0,practice 2,,,
,1790,reconstruction,12,594499,0.0-12.0,0.05,0.05,0,5,,0,0,0,practice 2,,,
"[{""page_index"":0,""viewing_time"":2742.100000023842}]",2744.5,instructions,13,597251,0.0-13.0,,,,,,,,,,,,
,4033.8,reconstruction,14,601293,0.0-14.0,0.6,0.6,0,5,2.18,1,0,1,practice 3,,,
,2244.6,reconstruction,15,603547,0.0-15.0,0.13,0.13,0,5,1.12,1,0,1,practice 3,,,
,354.6,reconstruction,16,603909,0.0-16.0,0.72,0.72,0,5,,0,0,0,practice 3,,,
,229.7,reconstruction,17,604145,0.0-17.0,0.57,0.57,0,5,,0,0,0,practice 3,,,
